#Energy      Ti   O  Total
          0.1000          6.38106651E+03          1.15893736E+02          1.13826406E+02
          0.2000          3.21773466E+03          6.15127169E+01          6.03588502E+01
          0.3000          2.15917832E+03          4.28951728E+01          4.20595986E+01
          0.4000          1.62831058E+03          3.33982598E+01          3.27269967E+01
          0.5000          1.30898081E+03          2.76051469E+01          2.70350046E+01
          0.6000          1.09561741E+03          2.36876106E+01          2.31863148E+01
          0.7000          9.42906619E+02          2.08538561E+01          2.04026202E+01
          0.8000          8.28160851E+02          1.87043021E+01          1.82911892E+01
          0.9000          7.38760340E+02          1.70150919E+01          1.66320239E+01
          1.0000          6.67124571E+02          1.56508740E+01          1.52921179E+01
          2.0000          3.42852038E+02          9.30847490E+00          9.06242884E+00
          3.0000          2.33557493E+02          7.07943862E+00          6.87116448E+00
          4.0000          1.78467836E+02          5.93268071E+00          5.74180977E+00
          5.0000          1.45200715E+02          5.23505521E+00          5.05287910E+00
          6.0000          1.22904094E+02          4.76872698E+00          4.59060953E+00
          7.0000          1.06906063E+02          4.43789506E+00          4.26101153E+00
          8.0000          9.48613617E+01          4.19358776E+00          4.01604814E+00
          9.0000          8.54623826E+01          4.00806420E+00          3.82851241E+00
         10.0000          7.79219765E+01          3.86438760E+00          3.68179614E+00
         11.0000          7.17377006E+01          3.75160876E+00          3.56516424E+00
         12.0000          6.65736381E+01          3.66232225E+00          3.47135733E+00
         13.0000          6.21966076E+01          3.59133275E+00          3.39528358E+00
         14.0000          5.84396294E+01          3.53488348E+00          3.33326186E+00
         15.0000          5.51799575E+01          3.49018780E+00          3.28256242E+00
         16.0000          5.23253222E+01          3.45513334E+00          3.24111669E+00
         17.0000          4.98050103E+01          3.42808856E+00          3.20732757E+00
         18.0000          4.75639079E+01          3.40777249E+00          3.17994180E+00
         19.0000          4.55584172E+01          3.39316493E+00          3.15796174E+00
         20.0000          4.37535925E+01          3.38344284E+00          3.14058316E+00
         21.0000          4.21210925E+01          3.37793475E+00          3.12715041E+00
         22.0000          4.06376874E+01          3.37608712E+00          3.11712355E+00
         23.0000          3.92841544E+01          3.37743949E+00          3.11005385E+00
         24.0000          3.80444479E+01          3.38160555E+00          3.10556535E+00
         25.0000          3.69050679E+01          3.38825874E+00          3.10334066E+00
         26.0000          3.58545737E+01          3.39712108E+00          3.10311004E+00
         27.0000          3.48832048E+01          3.40795440E+00          3.10464279E+00
         28.0000          3.39825827E+01          3.42055345E+00          3.10774048E+00
         29.0000          3.31454746E+01          3.43474037E+00          3.11223156E+00
         30.0000          3.23656032E+01          3.45036025E+00          3.11796696E+00
         31.0000          3.16374941E+01          3.46727756E+00          3.12481660E+00
         32.0000          3.09563508E+01          3.48537314E+00          3.13266646E+00
         33.0000          3.03179531E+01          3.50454186E+00          3.14141626E+00
         34.0000          2.97185725E+01          3.52469057E+00          3.15097744E+00
         35.0000          2.91549027E+01          3.54573645E+00          3.16127158E+00
         36.0000          2.86240015E+01          3.56760561E+00          3.17222896E+00
         37.0000          2.81232416E+01          3.59023194E+00          3.18378749E+00
         37.9990          2.76507297E+01          3.61353240E+00          3.19587929E+00
         38.0000          2.76502699E+01          3.61355606E+00          3.19589165E+00
         38.0010          2.76498101E+01          3.61357971E+00          3.19590401E+00
         38.9990          2.72034074E+01          3.63750026E+00          3.20847890E+00
         39.0000          2.72029722E+01          3.63752453E+00          3.20849173E+00
         39.0010          2.72025371E+01          3.63754880E+00          3.20850456E+00
         40.0000          2.67794438E+01          3.66208911E+00          3.22154308E+00
         41.0000          2.63779640E+01          3.68720615E+00          3.23500551E+00
         42.0000          2.59969744E+01          3.71283604E+00          3.24884279E+00
         43.0000          2.56350604E+01          3.73894277E+00          3.26302218E+00
         44.0000          2.52909346E+01          3.76549352E+00          3.27751401E+00
         45.0000          2.49634229E+01          3.79245832E+00          3.29229141E+00
         46.0000          2.46514525E+01          3.81980975E+00          3.30732996E+00
         47.0000          2.43540409E+01          3.84752269E+00          3.32260744E+00
         48.0000          2.40702868E+01          3.87557403E+00          3.33810359E+00
         49.0000          2.37993617E+01          3.90394255E+00          3.35379997E+00
         50.0000          2.35405028E+01          3.93260868E+00          3.36967968E+00
         51.0000          2.32930065E+01          3.96155434E+00          3.38572731E+00
         52.0000          2.30562229E+01          3.99076285E+00          3.40192873E+00
         53.0000          2.28295506E+01          4.02021874E+00          3.41827097E+00
         54.0000          2.26124325E+01          4.04990768E+00          3.43474217E+00
         55.0000          2.24043513E+01          4.07981638E+00          3.45133140E+00
         56.0000          2.22048268E+01          4.10993246E+00          3.46802863E+00
         57.0000          2.20134117E+01          4.14024442E+00          3.48482463E+00
         58.0000          2.18296896E+01          4.17074154E+00          3.50171090E+00
         59.0000          2.16532719E+01          4.20141380E+00          3.51867961E+00
         60.0000          2.14837957E+01          4.23225188E+00          3.53572354E+00
         61.0000          2.13209218E+01          4.26324703E+00          3.55283602E+00
         62.0000          2.11643325E+01          4.29439109E+00          3.57001090E+00
         63.0000          2.10137302E+01          4.32567638E+00          3.58724251E+00
         63.9990          2.08689778E+01          4.35706425E+00          3.60450827E+00
         64.0000          2.08688357E+01          4.35709574E+00          3.60452558E+00
         64.0010          2.08686936E+01          4.35712722E+00          3.60454288E+00
         65.0000          2.07293869E+01          4.38864241E+00          3.62185526E+00
         66.0000          2.05951374E+01          4.42031007E+00          3.63922706E+00
         67.0000          2.04658554E+01          4.45209276E+00          3.65663682E+00
         68.0000          2.03413225E+01          4.48398488E+00          3.67408069E+00
         69.0000          2.02213330E+01          4.51598114E+00          3.69155511E+00
         70.0000          2.01056928E+01          4.54807657E+00          3.70905678E+00
         71.0000          1.99942186E+01          4.58026648E+00          3.72658263E+00
         72.0000          1.98867373E+01          4.61254643E+00          3.74412984E+00
         73.0000          1.97830852E+01          4.64491223E+00          3.76169577E+00
         74.0000          1.96831073E+01          4.67735993E+00          3.77927798E+00
         75.0000          1.95866568E+01          4.70988578E+00          3.79687423E+00
         76.0000          1.94935946E+01          4.74248623E+00          3.81448241E+00
         77.0000          1.94037888E+01          4.77515791E+00          3.83210058E+00
         78.0000          1.93171141E+01          4.80789766E+00          3.84972694E+00
         79.0000          1.92334517E+01          4.84070244E+00          3.86735982E+00
         80.0000          1.91526885E+01          4.87356938E+00          3.88499768E+00
         81.0000          1.90747169E+01          4.90649577E+00          3.90263908E+00
         82.0000          1.89994348E+01          4.93947901E+00          3.92028269E+00
         83.0000          1.89267448E+01          4.97251665E+00          3.93792728E+00
         84.0000          1.88565540E+01          5.00560634E+00          3.95557170E+00
         85.0000          1.87887740E+01          5.03874585E+00          3.97321491E+00
         86.0000          1.87233204E+01          5.07193308E+00          3.99085591E+00
         87.0000          1.86601128E+01          5.10516598E+00          4.00849382E+00
         88.0000          1.85990742E+01          5.13844265E+00          4.02612778E+00
         89.0000          1.85401313E+01          5.17176123E+00          4.04375704E+00
         90.0000          1.84832137E+01          5.20511999E+00          4.06138086E+00
         91.0000          1.84282545E+01          5.23851724E+00          4.07899860E+00
         92.0000          1.83751893E+01          5.27195139E+00          4.09660965E+00
         93.0000          1.83239566E+01          5.30542091E+00          4.11421344E+00
         94.0000          1.82744976E+01          5.33892435E+00          4.13180946E+00
         95.0000          1.82267559E+01          5.37246031E+00          4.14939724E+00
         96.0000          1.81806774E+01          5.40602746E+00          4.16697634E+00
         97.0000          1.81362101E+01          5.43962452E+00          4.18454637E+00
         98.0000          1.80933044E+01          5.47325026E+00          4.20210695E+00
         99.0000          1.80519125E+01          5.50690353E+00          4.21965775E+00
        100.0000          1.80119886E+01          5.54058320E+00          4.23719848E+00
        110.0000          1.76845830E+01          5.87861615E+00          4.41200172E+00
        120.0000          1.74646351E+01          6.21834372E+00          4.58561842E+00
        130.0000          1.73269382E+01          6.55917733E+00          4.75801351E+00
        140.0000          1.72534769E+01          6.90071110E+00          4.92921806E+00
        150.0000          1.72310406E+01          7.24265948E+00          5.09929267E+00
        160.0000          1.72497272E+01          7.58481848E+00          5.26830856E+00
