#Energy      Li-K-shell   F-K-shell   Valence  Total
          0.1000          1.00000000E+30          1.00000000E+30          2.50000000E+29          1.00000000E+30
          0.2000          1.00000000E+30          1.00000000E+30          2.50000000E+29          1.00000000E+30
          0.3000          1.00000000E+30          1.00000000E+30          2.50000000E+29          1.00000000E+30
          0.4000          1.00000000E+30          1.00000000E+30          2.50000000E+29          1.00000000E+30
          0.5000          1.00000000E+30          1.00000000E+30          2.50000000E+29          1.00000000E+30
          0.6000          1.00000000E+30          1.00000000E+30          2.50000000E+29          1.00000000E+30
          0.7000          1.00000000E+30          1.00000000E+30          2.50000000E+29          1.00000000E+30
          0.8000          1.00000000E+30          1.00000000E+30          2.50000000E+29          1.00000000E+30
          0.9000          1.00000000E+30          1.00000000E+30          2.50000000E+29          1.00000000E+30
          1.0000          1.00000000E+30          1.00000000E+30          2.50000000E+29          1.00000000E+30
          2.0000          1.00000000E+30          1.00000000E+30          2.50000000E+29          1.00000000E+30
          3.0000          1.00000000E+30          1.00000000E+30          2.50000000E+29          1.00000000E+30
          4.0000          1.00000000E+30          1.00000000E+30          2.50000000E+29          1.00000000E+30
          5.0000          1.00000000E+30          1.00000000E+30          2.50000000E+29          1.00000000E+30
          6.0000          1.00000000E+30          1.00000000E+30          1.26754886E+03          1.26754886E+03
          7.0000          1.00000000E+30          1.00000000E+30          1.17596738E+03          1.17596738E+03
          8.0000          1.00000000E+30          1.00000000E+30          1.19009362E+03          1.19009362E+03
          9.0000          1.00000000E+30          1.00000000E+30          1.25341776E+03          1.25341776E+03
         10.0000          1.00000000E+30          1.00000000E+30          1.35166662E+03          1.35166662E+03
         11.0000          1.00000000E+30          1.00000000E+30          1.47329543E+03          1.47329543E+03
         12.0000          1.00000000E+30          1.00000000E+30          1.60727176E+03          1.60727176E+03
         13.0000          1.00000000E+30          1.00000000E+30          1.76104948E+03          1.76104948E+03
         14.0000          1.00000000E+30          1.00000000E+30          1.92934966E+03          1.92934966E+03
         15.0000          1.00000000E+30          1.00000000E+30          2.11192289E+03          2.11192289E+03
         16.0000          1.00000000E+30          1.00000000E+30          2.31695528E+03          2.31695528E+03
         17.0000          1.00000000E+30          1.00000000E+30          2.52359856E+03          2.52359856E+03
         18.0000          1.00000000E+30          1.00000000E+30          2.00162720E+02          2.00162720E+02
         19.0000          1.00000000E+30          1.00000000E+30          1.88408458E+02          1.88408458E+02
         20.0000          1.00000000E+30          1.00000000E+30          1.80130007E+02          1.80130007E+02
         21.0000          1.00000000E+30          1.00000000E+30          1.74987587E+02          1.74987587E+02
         22.0000          1.00000000E+30          1.00000000E+30          1.71145401E+02          1.71145401E+02
         23.0000          1.00000000E+30          1.00000000E+30          1.68834069E+02          1.68834069E+02
         24.0000          1.00000000E+30          1.00000000E+30          1.67479632E+02          1.67479632E+02
         25.0000          1.00000000E+30          1.00000000E+30          1.66211324E+02          1.66211324E+02
         26.0000          1.00000000E+30          1.00000000E+30          1.66254938E+02          1.66254938E+02
         27.0000          1.00000000E+30          1.00000000E+30          1.67107587E+02          1.67107587E+02
         28.0000          1.00000000E+30          1.00000000E+30          1.67151195E+02          1.67151195E+02
         29.0000          1.00000000E+30          1.00000000E+30          1.68928337E+02          1.68928337E+02
         30.0000          1.00000000E+30          1.00000000E+30          1.70352303E+02          1.70352303E+02
         31.0000          1.00000000E+30          1.00000000E+30          1.72074323E+02          1.72074323E+02
         32.0000          1.00000000E+30          1.00000000E+30          1.74054052E+02          1.74054052E+02
         33.0000          1.00000000E+30          1.00000000E+30          1.76212062E+02          1.76212062E+02
         34.0000          1.00000000E+30          1.00000000E+30          1.78090939E+02          1.78090939E+02
         35.0000          1.00000000E+30          1.00000000E+30          1.81184595E+02          1.81184595E+02
         36.0000          1.00000000E+30          1.00000000E+30          1.83559695E+02          1.83559695E+02
         37.0000          1.00000000E+30          1.00000000E+30          1.86555047E+02          1.86555047E+02
         38.0000          1.00000000E+30          1.00000000E+30          1.81131041E+02          1.81131041E+02
         39.0000          1.00000000E+30          1.00000000E+30          1.83132041E+02          1.83132041E+02
         40.0000          1.00000000E+30          1.00000000E+30          1.85881760E+02          1.85881760E+02
         41.0000          1.00000000E+30          1.00000000E+30          1.88303921E+02          1.88303921E+02
         42.0000          1.00000000E+30          1.00000000E+30          1.90811855E+02          1.90811855E+02
         43.0000          1.00000000E+30          1.00000000E+30          1.93957231E+02          1.93957231E+02
         44.0000          1.00000000E+30          1.00000000E+30          1.96807526E+02          1.96807526E+02
         45.0000          1.00000000E+30          1.00000000E+30          1.99851089E+02          1.99851089E+02
         46.0000          1.00000000E+30          1.00000000E+30          2.03307461E+02          2.03307461E+02
         47.0000          1.00000000E+30          1.00000000E+30          2.06618574E+02          2.06618574E+02
         48.0000          1.00000000E+30          1.00000000E+30          2.10342177E+02          2.10342177E+02
         49.0000          1.00000000E+30          1.00000000E+30          2.13990670E+02          2.13990670E+02
         50.0000          1.00000000E+30          1.00000000E+30          2.17892099E+02          2.17892099E+02
         51.0000          1.00000000E+30          1.00000000E+30          2.22001889E+02          2.22001889E+02
         52.0000          1.00000000E+30          1.00000000E+30          2.25813852E+02          2.25813852E+02
         53.0000          1.00000000E+30          1.00000000E+30          2.30196883E+02          2.30196883E+02
         54.0000          1.00000000E+30          1.00000000E+30          2.34918804E+02          2.34918804E+02
