#Energy      Li   F  Total
         86.0000          9.13849017E+00          4.55696725E+00          3.04070168E+00
         87.0000          9.22941087E+00          4.58323387E+00          3.06245106E+00
         88.0000          9.32032732E+00          4.60956033E+00          3.08420370E+00
         89.0000          9.41123944E+00          4.63594425E+00          3.10595934E+00
         90.0000          9.50214717E+00          4.66238340E+00          3.12771772E+00
         91.0000          9.59305045E+00          4.68887562E+00          3.14947859E+00
         92.0000          9.68394921E+00          4.71541885E+00          3.17124172E+00
         93.0000          9.77484341E+00          4.74201115E+00          3.19300688E+00
         94.0000          9.86573299E+00          4.76865062E+00          3.21477385E+00
         95.0000          9.95661792E+00          4.79533547E+00          3.23654243E+00
         96.0000          1.00474981E+01          4.82206399E+00          3.25831242E+00
         97.0000          1.01383736E+01          4.84883453E+00          3.28008363E+00
         98.0000          1.02292444E+01          4.87564550E+00          3.30185587E+00
         99.0000          1.03201103E+01          4.90249541E+00          3.32362897E+00
        100.0000          1.04109714E+01          4.92938279E+00          3.34540276E+00
        110.0000          1.13193135E+01          5.20003845E+00          3.56314616E+00
        120.0000          1.22271620E+01          5.47321361E+00          3.78081635E+00
        130.0000          1.31345209E+01          5.74813660E+00          3.99832599E+00
        140.0000          1.40414025E+01          6.02426940E+00          4.21561719E+00
        150.0000          1.49478229E+01          6.30122870E+00          4.43265198E+00
        160.0000          1.58538004E+01          6.57873649E+00          4.64940616E+00
        170.0000          1.67593535E+01          6.85658826E+00          4.86586508E+00
        180.0000          1.76645004E+01          7.13463172E+00          5.08202078E+00
        190.0000          1.85692588E+01          7.41275249E+00          5.29787005E+00
        200.0000          1.94736455E+01          7.69086403E+00          5.51341299E+00
        210.0000          2.03776763E+01          7.96890058E+00          5.72865207E+00
        220.0000          2.12813661E+01          8.24681203E+00          5.94359141E+00
        230.0000          2.21847288E+01          8.52456021E+00          6.15823624E+00
        240.0000          2.30877774E+01          8.80211611E+00          6.37259254E+00
        250.0000          2.39905240E+01          9.07945783E+00          6.58666679E+00
        260.0000          2.48929800E+01          9.35656901E+00          6.80046576E+00
        270.0000          2.57951560E+01          9.63343762E+00          7.01399635E+00
        280.0000          2.66970617E+01          9.91005506E+00          7.22726548E+00
        290.0000          2.75987065E+01          1.01864154E+01          7.44028007E+00
        300.0000          2.85000990E+01          1.04625149E+01          7.65304689E+00
        310.0000          2.94012472E+01          1.07383516E+01          7.86557262E+00
        320.0000          3.03021588E+01          1.10139246E+01          8.07786373E+00
        330.0000          3.12028410E+01          1.12892343E+01          8.28992655E+00
        340.0000          3.21033003E+01          1.15642820E+01          8.50176718E+00
        350.0000          3.30035431E+01          1.18390695E+01          8.71339154E+00
        360.0000          3.39035754E+01          1.21135993E+01          8.92480534E+00
        370.0000          3.48034027E+01          1.23878741E+01          9.13601410E+00
        380.0000          3.57030303E+01          1.26618971E+01          9.34702313E+00
        390.0000          3.66024632E+01          1.29356716E+01          9.55783753E+00
