#Energy      Li-K-shell   F-K-shell   Valence  Total
         19.0000          1.00000000E+30          1.00000000E+30          3.06261739E+01          3.06261739E+01
         20.0000          1.00000000E+30          1.00000000E+30          2.94932775E+01          2.94932775E+01
         21.0000          1.00000000E+30          1.00000000E+30          2.84426542E+01          2.84426542E+01
         22.0000          1.00000000E+30          1.00000000E+30          2.74635343E+01          2.74635343E+01
         23.0000          1.00000000E+30          1.00000000E+30          2.65469318E+01          2.65469318E+01
         24.0000          1.00000000E+30          1.00000000E+30          2.56852739E+01          2.56852739E+01
         25.0000          1.00000000E+30          1.00000000E+30          2.48721765E+01          2.48721765E+01
         26.0000          1.00000000E+30          1.00000000E+30          2.41021995E+01          2.41021995E+01
         27.0000          1.00000000E+30          1.00000000E+30          2.33706795E+01          2.33706795E+01
         28.0000          1.00000000E+30          1.00000000E+30          2.26736009E+01          2.26736009E+01
         29.0000          1.00000000E+30          1.00000000E+30          2.20074744E+01          2.20074744E+01
         30.0000          1.00000000E+30          1.00000000E+30          2.13692673E+01          2.13692673E+01
         31.0000          1.00000000E+30          1.00000000E+30          2.07563199E+01          2.07563199E+01
         32.0000          1.00000000E+30          1.00000000E+30          2.01663061E+01          2.01663061E+01
         33.0000          1.00000000E+30          1.00000000E+30          1.95971683E+01          1.95971683E+01
         34.0000          1.00000000E+30          1.00000000E+30          1.90470918E+01          1.90470918E+01
         35.0000          1.00000000E+30          1.00000000E+30          1.85144696E+01          1.85144696E+01
         36.0000          1.00000000E+30          1.00000000E+30          1.79978771E+01          1.79978771E+01
         37.0000          1.00000000E+30          1.00000000E+30          1.74960508E+01          1.74960508E+01
         38.0000          1.00000000E+30          1.00000000E+30          1.70078706E+01          1.70078706E+01
         39.0000          1.00000000E+30          1.00000000E+30          1.65323448E+01          1.65323448E+01
         40.0000          1.00000000E+30          1.00000000E+30          1.60686002E+01          1.60686002E+01
         41.0000          1.00000000E+30          1.00000000E+30          1.56158705E+01          1.56158705E+01
         42.0000          1.00000000E+30          1.00000000E+30          1.51734900E+01          1.51734900E+01
         43.0000          1.00000000E+30          1.00000000E+30          1.47408885E+01          1.47408885E+01
         44.0000          1.00000000E+30          1.00000000E+30          1.43175877E+01          1.43175877E+01
         45.0000          1.00000000E+30          1.00000000E+30          1.39031968E+01          1.39031968E+01
         46.0000          1.00000000E+30          1.00000000E+30          1.34974135E+01          1.34974135E+01
         47.0000          1.00000000E+30          1.00000000E+30          1.31000221E+01          1.31000221E+01
         48.0000          1.00000000E+30          1.00000000E+30          1.27108950E+01          1.27108950E+01
         49.0000          1.00000000E+30          1.00000000E+30          1.23299930E+01          1.23299930E+01
         50.0000          1.00000000E+30          1.00000000E+30          1.19573657E+01          1.19573657E+01
         51.0000          1.00000000E+30          1.00000000E+30          1.15931515E+01          1.15931515E+01
         52.0000          1.00000000E+30          1.00000000E+30          1.12375763E+01          1.12375763E+01
         53.0000          1.00000000E+30          1.00000000E+30          1.08909491E+01          1.08909491E+01
         54.0000          1.00000000E+30          1.00000000E+30          1.05536551E+01          1.05536551E+01
         55.0000          1.00000000E+30          1.00000000E+30          1.02261443E+01          1.02261443E+01
         56.0000          1.00000000E+30          1.00000000E+30          9.90891609E+00          9.90891609E+00
         57.0000          1.00000000E+30          1.00000000E+30          9.60249917E+00          9.60249917E+00
         57.9990          1.00000000E+30          1.00000000E+30          9.30771469E+00          9.30771469E+00
         58.0000          1.57583424E+09          1.00000000E+30          9.30742546E+00          9.30742540E+00
         58.0010          1.57592930E+09          1.00000000E+30          9.30713623E+00          9.30713618E+00
         59.0000          9.41163679E+04          1.00000000E+30          9.02420328E+00          9.02333809E+00
         60.0000          3.32307242E+04          1.00000000E+30          8.75328935E+00          8.75098426E+00
         61.0000          1.80238388E+04          1.00000000E+30          8.49506003E+00          8.49105800E+00
         62.0000          1.16665216E+04          1.00000000E+30          8.24978926E+00          8.24395968E+00
