#Energy      C   H  Total
         88.0000          8.78282865E+00          1.94393744E+01          6.04958777E+00
         89.0000          8.85245337E+00          1.96476930E+01          6.10278572E+00
         90.0000          8.92209742E+00          1.98560078E+01          6.15597291E+00
         91.0000          8.99175970E+00          2.00643188E+01          6.20914943E+00
         92.0000          9.06143914E+00          2.02726261E+01          6.26231537E+00
         93.0000          9.13113474E+00          2.04809296E+01          6.31547080E+00
         94.0000          9.20084553E+00          2.06892293E+01          6.36861580E+00
         95.0000          9.27057059E+00          2.08975254E+01          6.42175046E+00
         96.0000          9.34030906E+00          2.11058178E+01          6.47487486E+00
         97.0000          9.41006009E+00          2.13141066E+01          6.52798906E+00
         98.0000          9.47982289E+00          2.15223918E+01          6.58109314E+00
         99.0000          9.54959671E+00          2.17306734E+01          6.63418719E+00
        100.0000          9.61938081E+00          2.19389514E+01          6.68727126E+00
        110.0000          1.03176492E+01          2.40215414E+01          7.21757948E+00
        120.0000          1.10163469E+01          2.61038009E+01          7.74696610E+00
        130.0000          1.17151152E+01          2.81857497E+01          8.27549241E+00
        140.0000          1.24137186E+01          3.02674052E+01          8.80321365E+00
        150.0000          1.31120017E+01          3.23487819E+01          9.33017978E+00
        160.0000          1.38098617E+01          3.44298929E+01          9.85643610E+00
        170.0000          1.45072314E+01          3.65107495E+01          1.03820238E+01
        180.0000          1.52040684E+01          3.85913614E+01          1.09069804E+01
        190.0000          1.59003469E+01          4.06717376E+01          1.14313401E+01
        200.0000          1.65960532E+01          4.27518858E+01          1.19551342E+01
        210.0000          1.72911821E+01          4.48318129E+01          1.24783913E+01
        220.0000          1.79857339E+01          4.69115253E+01          1.30011378E+01
        230.0000          1.86797135E+01          4.89910285E+01          1.35233980E+01
        240.0000          1.93731283E+01          5.10703277E+01          1.40451941E+01
        250.0000          2.00659881E+01          5.31494274E+01          1.45665468E+01
        260.0000          2.07583037E+01          5.52283319E+01          1.50874753E+01
        270.0000          2.14500869E+01          5.73070450E+01          1.56079972E+01
        280.0000          2.21413499E+01          5.93855702E+01          1.61281291E+01
        287.9990          2.26939252E+01          6.10480495E+01          1.65439121E+01
        288.0010          2.26940633E+01          6.10484652E+01          1.65440160E+01
        290.0000          2.28321053E+01          6.14639108E+01          1.66478862E+01
        300.0000          2.35223656E+01          6.35420698E+01          1.71672830E+01
        310.0000          2.42121434E+01          6.56200500E+01          1.76863327E+01
        320.0000          2.49014508E+01          6.76978538E+01          1.82050479E+01
        330.0000          2.55903000E+01          6.97754838E+01          1.87234403E+01
        340.0000          2.62787028E+01          7.18529420E+01          1.92415210E+01
        350.0000          2.69666704E+01          7.39302305E+01          1.97593003E+01
        360.0000          2.76542142E+01          7.60073514E+01          2.02767879E+01
        370.0000          2.83413446E+01          7.80843063E+01          2.07939929E+01
        380.0000          2.90280722E+01          8.01610969E+01          2.13109242E+01
        390.0000          2.97144068E+01          8.22377250E+01          2.18275899E+01
        400.0000          3.04003582E+01          8.43141918E+01          2.23439976E+01
        410.0000          3.10859356E+01          8.63904989E+01          2.28601549E+01
        420.0000          3.17711479E+01          8.84666476E+01          2.33760685E+01
        430.0000          3.24560037E+01          9.05426390E+01          2.38917452E+01
        440.0000          3.31405114E+01          9.26184745E+01          2.44071912E+01
        450.0000          3.38246788E+01          9.46941551E+01          2.49224124E+01
        460.0000          3.45085137E+01          9.67696818E+01          2.54374147E+01
        470.0000          3.51920235E+01          9.88450558E+01          2.59522033E+01
        480.0000          3.58752152E+01          1.00920278E+02          2.64667834E+01
        490.0000          3.65580957E+01          1.02995349E+02          2.69811600E+01
        500.0000          3.72406716E+01          1.05070270E+02          2.74953378E+01
        510.0000          3.79229492E+01          1.07145042E+02          2.80093213E+01
        520.0000          3.86049347E+01          1.09219665E+02          2.85231149E+01
        530.0000          3.92866339E+01          1.11294141E+02          2.90367225E+01
        540.0000          3.99680526E+01          1.13368469E+02          2.95501482E+01
        550.0000          4.06491963E+01          1.15442652E+02          3.00633958E+01
        560.0000          4.13300702E+01          1.17516688E+02          3.05764689E+01
        570.0000          4.20106794E+01          1.19590580E+02          3.10893710E+01
        580.0000          4.26910289E+01          1.21664327E+02          3.16021055E+01
        590.0000          4.33711235E+01          1.23737930E+02          3.21146756E+01
        600.0000          4.40509677E+01          1.25811391E+02          3.26270844E+01
        610.0000          4.47305660E+01          1.27884708E+02          3.31393349E+01
        620.0000          4.54099227E+01          1.29957883E+02          3.36514299E+01
        630.0000          4.60890420E+01          1.32030916E+02          3.41633723E+01
        640.0000          4.67679279E+01          1.34103808E+02          3.46751647E+01
        650.0000          4.74465843E+01          1.36176559E+02          3.51868097E+01
        660.0000          4.81250150E+01          1.38249170E+02          3.56983097E+01
        670.0000          4.88032236E+01          1.40321641E+02          3.62096673E+01
        680.0000          4.94812136E+01          1.42393973E+02          3.67208846E+01
        690.0000          5.01589886E+01          1.44466165E+02          3.72319641E+01
        700.0000          5.08365518E+01          1.46538218E+02          3.77429077E+01
        710.0000          5.15139065E+01          1.48610133E+02          3.82537177E+01
        720.0000          5.21910558E+01          1.50681911E+02          3.87643960E+01
        730.0000          5.28680027E+01          1.52753550E+02          3.92749446E+01
        740.0000          5.35447502E+01          1.54825052E+02          3.97853655E+01
        750.0000          5.42213012E+01          1.56896417E+02          4.02956604E+01
        760.0000          5.48976584E+01          1.58967645E+02          4.08058312E+01
        770.0000          5.55738246E+01          1.61038737E+02          4.13158796E+01
        780.0000          5.62498023E+01          1.63109693E+02          4.18258073E+01
        790.0000          5.69255942E+01          1.65180513E+02          4.23356159E+01
        800.0000          5.76012027E+01          1.67251197E+02          4.28453070E+01
        810.0000          5.82766302E+01          1.69321747E+02          4.33548822E+01
        820.0000          5.89518792E+01          1.71392161E+02          4.38643429E+01
        830.0000          5.96269518E+01          1.73462440E+02          4.43736906E+01
        840.0000          6.03018503E+01          1.75532585E+02          4.48829267E+01
        850.0000          6.09765769E+01          1.77602596E+02          4.53920525E+01
        860.0000          6.16511337E+01          1.79672472E+02          4.59010695E+01
        870.0000          6.23255228E+01          1.81742215E+02          4.64099789E+01
        880.0000          6.29997462E+01          1.83811824E+02          4.69187820E+01
        890.0000          6.36738058E+01          1.85881300E+02          4.74274800E+01
        900.0000          6.43477035E+01          1.87950642E+02          4.79360741E+01
        910.0000          6.50214413E+01          1.90019852E+02          4.84445655E+01
        920.0000          6.56950209E+01          1.92088929E+02          4.89529554E+01
        930.0000          6.63684440E+01          1.94157873E+02          4.94612447E+01
        940.0000          6.70417125E+01          1.96226685E+02          4.99694347E+01
        950.0000          6.77148280E+01          1.98295365E+02          5.04775264E+01
        960.0000          6.83877922E+01          2.00363912E+02          5.09855208E+01
        970.0000          6.90606067E+01          2.02432328E+02          5.14934188E+01
        980.0000          6.97332730E+01          2.04500613E+02          5.20012216E+01
        990.0000          7.04057927E+01          2.06568765E+02          5.25089300E+01
       1000.0000          7.10781673E+01          2.08636787E+02          5.30165450E+01
       1100.0000          7.77942402E+01          2.29309810E+02          5.80877472E+01
       1200.0000          8.44972326E+01          2.49969856E+02          6.31504916E+01
       1300.0000          9.11882077E+01          2.70617039E+02          6.82054309E+01
       1400.0000          9.78680415E+01          2.91251455E+02          7.32531003E+01
       1500.0000          1.04537466E+02          3.11873186E+02          7.82939449E+01
       1600.0000          1.11197101E+02          3.32482301E+02          8.33283399E+01
       1700.0000          1.17847475E+02          3.53078860E+02          8.83566050E+01
       1800.0000          1.24489045E+02          3.73662916E+02          9.33790152E+01
       1900.0000          1.31122208E+02          3.94234516E+02          9.83958094E+01
       2000.0000          1.37747311E+02          4.14793702E+02          1.03407197E+02
       2100.0000          1.44364663E+02          4.35340512E+02          1.08413361E+02
       2200.0000          1.50974536E+02          4.55874982E+02          1.13414466E+02
       2300.0000          1.57577174E+02          4.76397143E+02          1.18410657E+02
       2400.0000          1.64172794E+02          4.96907024E+02          1.23402065E+02
       2500.0000          1.70761594E+02          5.17404654E+02          1.28388807E+02
       2600.0000          1.77343752E+02          5.37890057E+02          1.33370990E+02
       2700.0000          1.83919431E+02          5.58363258E+02          1.38348710E+02
       2800.0000          1.90488778E+02          5.78824280E+02          1.43322057E+02
       2900.0000          1.97051930E+02          5.99273144E+02          1.48291110E+02
       3000.0000          2.03609009E+02          6.19709871E+02          1.53255945E+02
       3100.0000          2.10160132E+02          6.40134480E+02          1.58216628E+02
       3200.0000          2.16705403E+02          6.60546990E+02          1.63173225E+02
       3300.0000          2.23244922E+02          6.80947419E+02          1.68125792E+02
       3400.0000          2.29778779E+02          7.01335785E+02          1.73074385E+02
       3500.0000          2.36307059E+02          7.21712104E+02          1.78019054E+02
       3600.0000          2.42829842E+02          7.42076392E+02          1.82959846E+02
       3700.0000          2.49347201E+02          7.62428666E+02          1.87896806E+02
       3800.0000          2.55859205E+02          7.82768940E+02          1.92829975E+02
       3900.0000          2.62365920E+02          8.03097230E+02          1.97759391E+02
       4000.0000          2.68867408E+02          8.23413549E+02          2.02685092E+02
       4100.0000          2.75363725E+02          8.43717913E+02          2.07607112E+02
       4200.0000          2.81854926E+02          8.64010334E+02          2.12525484E+02
       4300.0000          2.88341062E+02          8.84290827E+02          2.17440237E+02
       4400.0000          2.94822183E+02          9.04559405E+02          2.22351402E+02
       4500.0000          3.01298333E+02          9.24816081E+02          2.27259007E+02
       4600.0000          3.07769558E+02          9.45060867E+02          2.32163076E+02
       4700.0000          3.14235898E+02          9.65293777E+02          2.37063636E+02
       4800.0000          3.20697393E+02          9.85514823E+02          2.41960710E+02
       4900.0000          3.27154082E+02          1.00572402E+03          2.46854320E+02
       5000.0000          3.33605998E+02          1.02592137E+03          2.51744489E+02
       5100.0000          3.40053178E+02          1.04610690E+03          2.56631237E+02
       5200.0000          3.46495654E+02          1.06628061E+03          2.61514584E+02
       5300.0000          3.52933457E+02          1.08644252E+03          2.66394549E+02
       5400.0000          3.59366618E+02          1.10659263E+03          2.71271150E+02
       5500.0000          3.65795164E+02          1.12673096E+03          2.76144404E+02
       5600.0000          3.72219125E+02          1.14685752E+03          2.81014328E+02
       5700.0000          3.78638526E+02          1.16697233E+03          2.85880939E+02
       5800.0000          3.85053393E+02          1.18707538E+03          2.90744251E+02
       5900.0000          3.91463751E+02          1.20716670E+03          2.95604281E+02
       6000.0000          3.97869623E+02          1.22724630E+03          3.00461041E+02
       6100.0000          4.04271032E+02          1.24731417E+03          3.05314547E+02
       6200.0000          4.10668001E+02          1.26737035E+03          3.10164811E+02
       6300.0000          4.17060550E+02          1.28741483E+03          3.15011847E+02
       6400.0000          4.23448700E+02          1.30744763E+03          3.19855666E+02
       6500.0000          4.29832471E+02          1.32746875E+03          3.24696282E+02
       6600.0000          4.36211882E+02          1.34747821E+03          3.29533706E+02
       6700.0000          4.42586952E+02          1.36747602E+03          3.34367949E+02
       6800.0000          4.48957699E+02          1.38746219E+03          3.39199023E+02
       6900.0000          4.55324140E+02          1.40743673E+03          3.44026938E+02
       7000.0000          4.61686291E+02          1.42739965E+03          3.48851705E+02
       7100.0000          4.68044171E+02          1.44735095E+03          3.53673333E+02
       7200.0000          4.74397794E+02          1.46729066E+03          3.58491833E+02
       7300.0000          4.80747176E+02          1.48721878E+03          3.63307214E+02
       7400.0000          4.87092333E+02          1.50713531E+03          3.68119486E+02
       7500.0000          4.93433278E+02          1.52704027E+03          3.72928657E+02
       7600.0000          4.99770027E+02          1.54693368E+03          3.77734737E+02
       7700.0000          5.06102592E+02          1.56681553E+03          3.82537734E+02
       7800.0000          5.12430988E+02          1.58668584E+03          3.87337656E+02
       7900.0000          5.18755228E+02          1.60654462E+03          3.92134513E+02
       8000.0000          5.25075324E+02          1.62639188E+03          3.96928311E+02
       8100.0000          5.31391290E+02          1.64622763E+03          4.01719059E+02
       8200.0000          5.37703137E+02          1.66605187E+03          4.06506764E+02
       8300.0000          5.44010878E+02          1.68586462E+03          4.11291435E+02
       8400.0000          5.50314524E+02          1.70566589E+03          4.16073077E+02
       8500.0000          5.56614087E+02          1.72545569E+03          4.20851699E+02
       8600.0000          5.62909577E+02          1.74523402E+03          4.25627307E+02
       8700.0000          5.69201006E+02          1.76500090E+03          4.30399909E+02
       8800.0000          5.75488385E+02          1.78475633E+03          4.35169511E+02
       8900.0000          5.81771724E+02          1.80450033E+03          4.39936119E+02
       9000.0000          5.88051033E+02          1.82423290E+03          4.44699741E+02
       9100.0000          5.94326322E+02          1.84395406E+03          4.49460383E+02
       9200.0000          6.00597601E+02          1.86366381E+03          4.54218050E+02
       9300.0000          6.06864880E+02          1.88336216E+03          4.58972749E+02
       9400.0000          6.13128168E+02          1.90304912E+03          4.63724487E+02
       9500.0000          6.19387475E+02          1.92272471E+03          4.68473268E+02
       9600.0000          6.25642809E+02          1.94238892E+03          4.73219099E+02
       9700.0000          6.31894181E+02          1.96204177E+03          4.77961985E+02
       9800.0000          6.38141597E+02          1.98168328E+03          4.82701933E+02
       9900.0000          6.44385068E+02          2.00131344E+03          4.87438948E+02
      10000.0000          6.50624601E+02          2.02093227E+03          4.92173034E+02
      11000.0000          7.12805146E+02          2.21649925E+03          5.39354010E+02
      12000.0000          7.74600350E+02          2.41094293E+03          5.86247642E+02
      13000.0000          8.36016860E+02          2.60427219E+03          6.32858294E+02
      14000.0000          8.97060559E+02          2.79649579E+03          6.79189876E+02
      15000.0000          9.57736740E+02          2.98762236E+03          7.25245948E+02
      16000.0000          1.01805024E+03          3.17766038E+03          7.71029799E+02
      17000.0000          1.07800554E+03          3.36661826E+03          8.16544503E+02
      18000.0000          1.13760681E+03          3.55450428E+03          8.61792952E+02
      19000.0000          1.19685798E+03          3.74132664E+03          9.06777895E+02
      20000.0000          1.25576280E+03          3.92709344E+03          9.51501955E+02
      21000.0000          1.31432481E+03          4.11181270E+03          9.95967652E+02
      22000.0000          1.37254743E+03          4.29549233E+03          1.04017741E+03
      23000.0000          1.43043394E+03          4.47814020E+03          1.08413359E+03
      24000.0000          1.48798751E+03          4.65976407E+03          1.12783847E+03
      25000.0000          1.54521121E+03          4.84037161E+03          1.17129426E+03
      26000.0000          1.60210804E+03          5.01997045E+03          1.21450312E+03
      27000.0000          1.65868089E+03          5.19856812E+03          1.25746718E+03
      28000.0000          1.71493259E+03          5.37617208E+03          1.30018850E+03
      29000.0000          1.77086592E+03          5.55278971E+03          1.34266909E+03
      30000.0000          1.82648358E+03          5.72842834E+03          1.38491096E+03
      31000.0000          1.88178823E+03          5.90309522E+03          1.42691604E+03
      32000.0000          1.93678246E+03          6.07679751E+03          1.46868627E+03
      33000.0000          1.99146884E+03          6.24954233E+03          1.51022351E+03
      34000.0000          2.04584986E+03          6.42133673E+03          1.55152963E+03
      35000.0000          2.09992800E+03          6.59218768E+03          1.59260645E+03
      36000.0000          2.15370569E+03          6.76210210E+03          1.63345578E+03
      37000.0000          2.20718531E+03          6.93108682E+03          1.67407939E+03
      38000.0000          2.26036923E+03          7.09914864E+03          1.71447903E+03
      39000.0000          2.31325975E+03          7.26629428E+03          1.75465643E+03
      40000.0000          2.36585918E+03          7.43253039E+03          1.79461330E+03
      41000.0000          2.41816976E+03          7.59786357E+03          1.83435132E+03
      42000.0000          2.47019373E+03          7.76230037E+03          1.87387215E+03
      43000.0000          2.52193328E+03          7.92584725E+03          1.91317744E+03
      44000.0000          2.57339059E+03          8.08851064E+03          1.95226880E+03
      45000.0000          2.62456780E+03          8.25029690E+03          1.99114786E+03
      46000.0000          2.67546702E+03          8.41121233E+03          2.02981618E+03
      47000.0000          2.72609035E+03          8.57126318E+03          2.06827535E+03
      48000.0000          2.77643986E+03          8.73045564E+03          2.10652691E+03
      49000.0000          2.82651760E+03          8.88879583E+03          2.14457240E+03
      50000.0000          2.87632559E+03          9.04628985E+03          2.18241334E+03
