#Energy      Li   I  Total
          0.1000          2.23416674E+01          1.73699000E+05          2.23387941E+01
          0.2000          1.47921158E+01          8.69776209E+04          1.47896005E+01
          0.3000          1.19748085E+01          5.80508070E+04          1.19723389E+01
          0.4000          1.04580400E+01          4.35797743E+04          1.04555310E+01
          0.5000          9.49769336E+00          3.48932649E+04          9.49510886E+00
          0.6000          8.83095107E+00          2.90999613E+04          8.82827196E+00
          0.7000          8.33978052E+00          2.49603986E+04          8.33699496E+00
          0.8000          7.96276515E+00          2.18546975E+04          7.95986497E+00
          0.9000          7.66456999E+00          1.94384063E+04          7.66154904E+00
          1.0000          7.42332011E+00          1.75048127E+04          7.42017342E+00
          2.0000          6.35952366E+00          8.79427577E+03          6.35492813E+00
          3.0000          6.11465968E+00          5.88477004E+03          6.10831275E+00
          4.0000          6.10800329E+00          4.42774738E+03          6.09958901E+00
          5.0000          6.20637970E+00          3.55240196E+03          6.19555548E+00
          6.0000          6.36118442E+00          2.96818526E+03          6.34758077E+00
          7.0000          6.55009804E+00          2.55047439E+03          6.53331925E+00
          8.0000          6.76132029E+00          2.23691260E+03          6.74094502E+00
          9.0000          6.98798212E+00          1.99283432E+03          6.96356400E+00
         10.0000          7.22579429E+00          1.79742755E+03          7.19686236E+00
         11.0000          7.47193105E+00          1.63744072E+03          7.43799019E+00
         12.0000          7.72445037E+00          1.50403476E+03          7.68498169E+00
         13.0000          7.98197107E+00          1.39108719E+03          7.93643232E+00
         14.0000          8.24348268E+00          1.29422272E+03          8.19130858E+00
         15.0000          8.50822808E+00          1.21023133E+03          8.44883069E+00
         16.0000          8.77562840E+00          1.13670445E+03          8.70839750E+00
         17.0000          9.04523322E+00          1.07179944E+03          8.96953664E+00
         18.0000          9.31668669E+00          1.01408257E+03          9.23187068E+00
         19.0000          9.58970390E+00          9.62421505E+02          9.49509345E+00
         20.0000          9.86405399E+00          9.15910025E+02          9.75895322E+00
         21.0000          1.01395479E+01          8.73814258E+02          1.00232404E+01
         22.0000          1.04160294E+01          8.35533553E+02          1.02877786E+01
         23.0000          1.06933681E+01          8.00571545E+02          1.05524177E+01
         24.0000          1.09714547E+01          7.68514461E+02          1.08170287E+01
         25.0000          1.12501963E+01          7.39014617E+02          1.10815000E+01
         26.0000          1.15295142E+01          7.11777727E+02          1.13457338E+01
         27.0000          1.18093407E+01          6.86553023E+02          1.16096442E+01
         28.0000          1.20896177E+01          6.63125498E+02          1.18731550E+01
         29.0000          1.23702946E+01          6.41309747E+02          1.21361981E+01
         30.0000          1.26513277E+01          6.20945038E+02          1.23987124E+01
         31.0000          1.29326786E+01          6.01891341E+02          1.26606427E+01
         32.0000          1.32143138E+01          5.84026095E+02          1.29219389E+01
         33.0000          1.34962036E+01          5.67241565E+02          1.31825552E+01
         34.0000          1.37783221E+01          5.51442668E+02          1.34424496E+01
         35.0000          1.40606460E+01          5.36545165E+02          1.37015837E+01
         36.0000          1.43431547E+01          5.22474156E+02          1.39599217E+01
         37.0000          1.46258299E+01          5.09162826E+02          1.42174307E+01
         38.0000          1.49086553E+01          4.96551374E+02          1.44740798E+01
         39.0000          1.51916161E+01          4.84586124E+02          1.47298404E+01
         40.0000          1.54746991E+01          4.73218752E+02          1.49846857E+01
         41.0000          1.57578924E+01          4.62405642E+02          1.52385906E+01
         42.0000          1.60411854E+01          4.52107322E+02          1.54915315E+01
         43.0000          1.63245683E+01          4.42287982E+02          1.57434862E+01
         44.0000          1.66080324E+01          4.32915064E+02          1.59944338E+01
         45.0000          1.68915697E+01          4.23958894E+02          1.62443545E+01
         46.0000          1.71751730E+01          4.15392375E+02          1.64932296E+01
         47.0000          1.74588357E+01          4.07190711E+02          1.67410415E+01
         48.0000          1.77425517E+01          3.99331166E+02          1.69877735E+01
         49.0000          1.80263157E+01          3.91792858E+02          1.72334097E+01
         50.0000          1.83101226E+01          3.84556570E+02          1.74779352E+01
         51.0000          1.85939678E+01          3.77604589E+02          1.77213355E+01
         52.0000          1.88778471E+01          3.70920563E+02          1.79635973E+01
         53.0000          1.91617566E+01          3.64489370E+02          1.82047077E+01
         54.0000          1.94456930E+01          3.58297005E+02          1.84446545E+01
         55.0000          1.97296527E+01          3.52330481E+02          1.86834262E+01
         55.9990          2.00133490E+01          3.46583384E+02          1.89207748E+01
         56.0000          2.00136330E+01          3.46577734E+02          1.89210118E+01
         56.0010          2.00139170E+01          3.46572085E+02          1.89212488E+01
         57.0000          2.02976310E+01          3.41027547E+02          1.91574010E+01
         57.9990          2.05813602E+01          3.35674740E+02          1.93923493E+01
         58.0000          2.05816442E+01          3.35669474E+02          1.93925838E+01
         58.0010          2.05819282E+01          3.35664209E+02          1.93928184E+01
         59.0000          2.08656702E+01          3.30493775E+02          1.96265511E+01
         60.0000          2.11497069E+01          3.25491358E+02          1.98592940E+01
         61.0000          2.14337523E+01          3.20653726E+02          2.00908042E+01
         62.0000          2.17178045E+01          3.15972930E+02          2.03210738E+01
