#Energy      Ga   Sb  Total
         30.0000          1.26436861E+02          5.83440453E+02          1.03917083E+02
         31.0000          1.22984784E+02          5.65617885E+02          1.01019639E+02
         32.0000          1.19749336E+02          5.48907010E+02          9.83034862E+01
         33.0000          1.16710961E+02          5.33207073E+02          9.57522436E+01
         34.0000          1.13852392E+02          5.18429147E+02          9.33514503E+01
         35.0000          1.11158326E+02          5.04494445E+02          9.10882897E+01
         36.0000          1.08615149E+02          4.91332917E+02          8.89513625E+01
         36.9990          1.06213051E+02          4.78894184E+02          8.69324619E+01
         37.0000          1.06210712E+02          4.78882069E+02          8.69304959E+01
         37.0010          1.06208373E+02          4.78869954E+02          8.69285300E+01
         37.9990          1.03936355E+02          4.67097456E+02          8.50184458E+01
         38.0000          1.03934139E+02          4.67085969E+02          8.50165826E+01
         38.0010          1.03931923E+02          4.67074484E+02          8.50147194E+01
         39.0000          1.01775663E+02          4.55894412E+02          8.32014448E+01
         40.0000          9.97264869E+01          4.45262200E+02          8.14777187E+01
         41.0000          9.77786691E+01          4.35148534E+02          7.98387552E+01
         42.0000          9.59250192E+01          4.25516493E+02          7.82785352E+01
         43.0000          9.41590123E+01          4.16332582E+02          7.67915969E+01
         44.0000          9.24747133E+01          4.07566345E+02          7.53729724E+01
         45.0000          9.08667118E+01          3.99190025E+02          7.40181334E+01
         46.0000          8.93300651E+01          3.91178274E+02          7.27229432E+01
         47.0000          8.78602489E+01          3.83507896E+02          7.14836155E+01
         48.0000          8.64531139E+01          3.76157624E+02          7.02966776E+01
         49.0000          8.51048475E+01          3.69107922E+02          6.91589394E+01
         50.0000          8.38119403E+01          3.62340813E+02          6.80674643E+01
         51.0000          8.25711569E+01          3.55839727E+02          6.70195449E+01
         52.0000          8.13795090E+01          3.49589367E+02          6.60126812E+01
         53.0000          8.02342328E+01          3.43575583E+02          6.50445607E+01
         54.0000          7.91327679E+01          3.37785277E+02          6.41130415E+01
         55.0000          7.80727393E+01          3.32206295E+02          6.32161366E+01
         56.0000          7.70519405E+01          3.26827354E+02          6.23520001E+01
         57.0000          7.60683189E+01          3.21637957E+02          6.15189153E+01
         58.0000          7.51199629E+01          3.16628332E+02          6.07152829E+01
         59.0000          7.42050894E+01          3.11789366E+02          5.99396117E+01
         60.0000          7.33220339E+01          3.07112553E+02          5.91905095E+01
         61.0000          7.24692402E+01          3.02589942E+02          5.84666747E+01
         62.0000          7.16452520E+01          2.98214096E+02          5.77668894E+01
         63.0000          7.08487049E+01          2.93978047E+02          5.70900127E+01
         64.0000          7.00783192E+01          2.89875262E+02          5.64349744E+01
         65.0000          6.93328938E+01          2.85899609E+02          5.58007701E+01
         66.0000          6.86112997E+01          2.82045327E+02          5.51864559E+01
         67.0000          6.79124751E+01          2.78306997E+02          5.45911439E+01
         68.0000          6.72354202E+01          2.74679520E+02          5.40139982E+01
         69.0000          6.65791929E+01          2.71158089E+02          5.34542311E+01
         70.0000          6.59429047E+01          2.67738174E+02          5.29110999E+01
         71.0000          6.53257166E+01          2.64415497E+02          5.23839032E+01
         72.0000          6.47268363E+01          2.61186018E+02          5.18719787E+01
         73.0000          6.41455145E+01          2.58045919E+02          5.13747000E+01
         74.0000          6.35810422E+01          2.54991586E+02          5.08914745E+01
         75.0000          6.30327480E+01          2.52019598E+02          5.04217411E+01
         76.0000          6.24999956E+01          2.49126714E+02          4.99649679E+01
         77.0000          6.19821818E+01          2.46309861E+02          4.95206508E+01
         78.0000          6.14787339E+01          2.43566121E+02          4.90883111E+01
         79.0000          6.09891082E+01          2.40892727E+02          4.86674946E+01
