#Energy      Mn  Total
        940.0000          9.77281053E+00          9.77281053E+00
        950.0000          9.83489337E+00          9.83489337E+00
        960.0000          9.89693427E+00          9.89693427E+00
        970.0000          9.95893248E+00          9.95893248E+00
        980.0000          1.00208873E+01          1.00208873E+01
        990.0000          1.00827982E+01          1.00827982E+01
       1000.0000          1.01446645E+01          1.01446645E+01
       1100.0000          1.07607819E+01          1.07607819E+01
       1200.0000          1.13720946E+01          1.13720946E+01
       1300.0000          1.19785269E+01          1.19785269E+01
       1400.0000          1.25801420E+01          1.25801420E+01
       1500.0000          1.31770770E+01          1.31770770E+01
       1600.0000          1.37695060E+01          1.37695060E+01
       1700.0000          1.43576185E+01          1.43576185E+01
       1800.0000          1.49416082E+01          1.49416082E+01
       1900.0000          1.55216651E+01          1.55216651E+01
       2000.0000          1.60979726E+01          1.60979726E+01
       2100.0000          1.66707051E+01          1.66707051E+01
       2200.0000          1.72400269E+01          1.72400269E+01
       2300.0000          1.78060926E+01          1.78060926E+01
       2400.0000          1.83690469E+01          1.83690469E+01
       2500.0000          1.89290250E+01          1.89290250E+01
       2600.0000          1.94861532E+01          1.94861532E+01
       2700.0000          2.00405494E+01          2.00405494E+01
       2800.0000          2.05923239E+01          2.05923239E+01
       2900.0000          2.11415796E+01          2.11415796E+01
       3000.0000          2.16884130E+01          2.16884130E+01
       3100.0000          2.22329142E+01          2.22329142E+01
       3200.0000          2.27751678E+01          2.27751678E+01
       3300.0000          2.33152530E+01          2.33152530E+01
       3400.0000          2.38532444E+01          2.38532444E+01
       3500.0000          2.43892120E+01          2.43892120E+01
       3600.0000          2.49232218E+01          2.49232218E+01
       3700.0000          2.54553358E+01          2.54553358E+01
       3800.0000          2.59856128E+01          2.59856128E+01
       3900.0000          2.65141080E+01          2.65141080E+01
       4000.0000          2.70408739E+01          2.70408739E+01
       4100.0000          2.75659599E+01          2.75659599E+01
       4200.0000          2.80894131E+01          2.80894131E+01
       4300.0000          2.86112780E+01          2.86112780E+01
       4400.0000          2.91315968E+01          2.91315968E+01
       4500.0000          2.96504098E+01          2.96504098E+01
       4600.0000          3.01677551E+01          3.01677551E+01
       4700.0000          3.06836691E+01          3.06836691E+01
       4800.0000          3.11981866E+01          3.11981866E+01
       4900.0000          3.17113405E+01          3.17113405E+01
       5000.0000          3.22231625E+01          3.22231625E+01
       5100.0000          3.27336826E+01          3.27336826E+01
       5200.0000          3.32429298E+01          3.32429298E+01
       5300.0000          3.37509316E+01          3.37509316E+01
       5400.0000          3.42577144E+01          3.42577144E+01
       5500.0000          3.47633034E+01          3.47633034E+01
       5600.0000          3.52677231E+01          3.52677231E+01
       5700.0000          3.57709966E+01          3.57709966E+01
       5800.0000          3.62731462E+01          3.62731462E+01
       5900.0000          3.67741936E+01          3.67741936E+01
       6000.0000          3.72741592E+01          3.72741592E+01
       6100.0000          3.77730630E+01          3.77730630E+01
       6200.0000          3.82709240E+01          3.82709240E+01
       6300.0000          3.87677607E+01          3.87677607E+01
       6400.0000          3.92635907E+01          3.92635907E+01
       6500.0000          3.97584313E+01          3.97584313E+01
       6543.9990          3.99758470E+01          3.99758470E+01
       6544.0010          3.99758569E+01          3.99758569E+01
       6600.0000          4.02522988E+01          4.02522988E+01
       6700.0000          4.07452092E+01          4.07452092E+01
       6800.0000          4.12371779E+01          4.12371779E+01
       6900.0000          4.17282196E+01          4.17282196E+01
       7000.0000          4.22183488E+01          4.22183488E+01
       7100.0000          4.27075793E+01          4.27075793E+01
       7200.0000          4.31959245E+01          4.31959245E+01
       7300.0000          4.36833974E+01          4.36833974E+01
       7400.0000          4.41700106E+01          4.41700106E+01
       7500.0000          4.46557763E+01          4.46557763E+01
       7600.0000          4.51407063E+01          4.51407063E+01
       7700.0000          4.56248120E+01          4.56248120E+01
       7800.0000          4.61081045E+01          4.61081045E+01
       7900.0000          4.65905946E+01          4.65905946E+01
       8000.0000          4.70722927E+01          4.70722927E+01
       8100.0000          4.75532090E+01          4.75532090E+01
       8200.0000          4.80333533E+01          4.80333533E+01
       8300.0000          4.85127352E+01          4.85127352E+01
       8400.0000          4.89913640E+01          4.89913640E+01
       8500.0000          4.94692488E+01          4.94692488E+01
       8600.0000          4.99463984E+01          4.99463984E+01
       8700.0000          5.04228213E+01          5.04228213E+01
       8800.0000          5.08985258E+01          5.08985258E+01
       8900.0000          5.13735201E+01          5.13735201E+01
       9000.0000          5.18478121E+01          5.18478121E+01
       9100.0000          5.23214094E+01          5.23214094E+01
       9200.0000          5.27943196E+01          5.27943196E+01
       9300.0000          5.32665499E+01          5.32665499E+01
       9400.0000          5.37381075E+01          5.37381075E+01
       9500.0000          5.42089993E+01          5.42089993E+01
       9600.0000          5.46792322E+01          5.46792322E+01
       9700.0000          5.51488126E+01          5.51488126E+01
       9800.0000          5.56177471E+01          5.56177471E+01
       9900.0000          5.60860420E+01          5.60860420E+01
      10000.0000          5.65537034E+01          5.65537034E+01
      11000.0000          6.11967322E+01          6.11967322E+01
      12000.0000          6.57822437E+01          6.57822437E+01
      13000.0000          7.03145566E+01          7.03145566E+01
      14000.0000          7.47972267E+01          7.47972267E+01
      15000.0000          7.92332290E+01          7.92332290E+01
      16000.0000          8.36250878E+01          8.36250878E+01
      17000.0000          8.79749717E+01          8.79749717E+01
      18000.0000          9.22847636E+01          9.22847636E+01
      19000.0000          9.65561145E+01          9.65561145E+01
      20000.0000          1.00790484E+02          1.00790484E+02
      21000.0000          1.04989174E+02          1.04989174E+02
      22000.0000          1.09153353E+02          1.09153353E+02
      23000.0000          1.13284075E+02          1.13284075E+02
      24000.0000          1.17382300E+02          1.17382300E+02
      25000.0000          1.21448904E+02          1.21448904E+02
